"Longitude","Latitude",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
-77.39628,25.03428,7.610436221,6.825539444,6.738756919,6.276121798,6.115655137,6.010187467,5.881615776,4.755613659,5.7928092,5.710903688,5.603474622,5.179703305,5.102301004,4.809957418,5.345812655,4.858311455,4.534282616,4.524129584,3.000215307,4.634282297,6.835610738,,,,
50.637772,25.930414,23.96388907,22.57135653,20.25877712,28.26345362,27.77777373,28.4198517,26.94756054,28.99102946,29.80335267,28.11557575,27.89874282,19.93171511,21.43010016,21.33064744,21.34042449,21.8385486,20.50309532,21.69610201,21.77453545,20.28401672,19.33835286,,,,
90.356331,23.684994,0.144650458,0.144999395,0.157859354,0.151502361,0.161621139,0.190340811,0.196320875,0.200599318,0.188644999,0.194174893,0.210519056,0.240902076,0.246025688,0.243437439,0.28144773,0.262365597,0.332278182,0.330927964,0.313815174,0.350013411,0.371563901,,,,
-59.543198,13.193887,4.143007527,4.637044297,3.751830719,4.259489366,2.850423524,3.149134573,3.223931728,3.40915172,4.297535516,4.545526256,4.446678394,4.551357456,4.557831585,4.684549039,4.755426976,4.946203503,4.988516785,5.163162333,5.89078427,5.822387332,5.361952382,,,,
27.953389,53.709807,,,8.563751566,7.271325422,6.445128092,6.093680596,5.920977854,5.883075714,5.72028692,5.562438864,5.34418061,5.297721696,5.310737861,5.483469429,5.964810791,6.112425644,6.437868284,6.305628975,6.592748741,6.341938992,6.556549631,,,,
4.469936,50.503887,10.88248576,11.75259659,11.3859563,10.80121355,11.20117436,11.14518195,11.77800034,11.42249676,11.6813428,11.32793376,11.28725941,11.15688699,10.40678849,11.06729954,10.67853239,10.35679279,10.12844173,9.71371759,9.699598963,9.65073918,9.976543625,,,,
-88.49765,17.189877,1.66191243,1.877879269,1.825089536,1.90354299,1.848468974,1.824977532,1.450396704,1.779086798,1.64546856,2.593754852,2.889507347,2.901320565,1.427380981,1.447802559,1.438907335,1.456443071,1.458992419,1.486296105,1.386630284,1.376574667,1.366532186,,,,
2.315834,9.30769,0.142976655,0.159910854,0.168410364,0.202977024,0.218621053,0.221772443,0.204833203,0.191382863,0.185408737,0.231754927,0.23270425,0.242254991,0.276950897,0.302805582,0.317046533,0.293096052,0.459044295,0.516728587,0.500604962,0.514685714,0.545627257,,,,
-64.75737,32.321384,10.07519469,8.636129513,6.946616606,8.154422,7.974426837,7.794814716,7.928121206,7.879894871,7.581543409,8.077751489,8.006161758,7.920213106,8.335150687,8.0491591,10.52809853,6.916279577,8.070207523,7.968299223,5.955019687,7.095328783,7.320035624,,,,
90.433601,27.514162,0.239566729,0.349626569,0.409523683,0.360302164,0.415736882,0.489792872,0.593766217,0.759932917,0.721394619,0.701851443,0.708253743,0.669151368,0.698528711,0.612769982,0.485930591,0.608895524,0.589525037,0.577552567,0.6092603,0.55170877,0.664924073,,,,
