Rate,Country Name,"longitude, latitude",Country Code,"""1990""","""1991""","""1992""","""1993""","""1994""","""1995""","""1996""","""1997""","""1998""","""1999""","""2000""","""2001""","""2002""","""2003""","""2004""","""2005""","""2006""","""2007""","""2008""","""2009""","""2010""","""2011""","""2012""","""2013""","""2014""","""2015""","""2016""","""2017""","""2018""","""2019""","""2020""","""2021""","""2022""","""2023""","""2024""","""2025""","""2026""","""2027""","""2028""","""2029""","""2030""","""2031""","""2032""","""2033""","""2034""","""2035""","""2036""","""2037""","""2038""","""2039""","""2040""","""2041""","""2042""","""2043""","""2044""","""2045""","""2046""","""2047""","""2048""","""2049""","""2050""","""2051""","""2052""","""2053""","""2054""","""2055""","""2056""","""2057""","""2058""","""2059""","""2060""","""2061""","""2062""","""2063""","""2064""","""2065""","""2066""","""2067""","""2068""","""2069""","""2070""","""2071""","""2072""","""2073""","""2074""","""2075""","""2076""","""2077""","""2078""","""2079""","""2080""","""2081""","""2082""","""2083""","""2084""","""2085""","""2086""","""2087""","""2088""","""2089""","""2090""","""2091""","""2092""","""2093""","""2094""","""2095""","""2096""","""2097""","""2098""","""2099""","""2100""","""2101""","""2102""","""2103""","""2104""","""2105""","""2106""","""2107""","""2108""","""2109""","""2110""","""2111""","""2112""","""2113""","""2114"""
-3203.636364,Australia,"133.775136,-25.274398",AUS,1545000,1545420,1545840,1546260,1546680,1547100,1547520,1547940,1548360,1548780,1549200,1547200,1545200,1543200,1541200,1539200,1529960,1520720,1511480,1502240,1493000,1483760,1474520,1471316.364,1468112.727,1464909.091,1461705.455,1458501.818,1455298.182,1452094.545,1448890.909,1445687.273,1442483.636,1439280,1436076.364,1432872.727,1429669.091,1426465.455,1423261.818,1420058.182,1416854.545,1413650.909,1410447.273,1407243.636,1404040,1400836.364,1397632.727,1394429.091,1391225.455,1388021.818,1384818.182,1381614.545,1378410.909,1375207.273,1372003.636,1368800,1365596.364,1362392.727,1359189.091,1355985.455,1352781.818,1349578.182,1346374.545,1343170.909,1339967.273,1336763.636,1333560,1330356.364,1327152.727,1323949.091,1320745.455,1317541.818,1314338.182,1311134.545,1307930.909,1304727.273,1301523.636,1298320,1295116.364,1291912.727,1288709.091,1285505.455,1282301.818,1279098.182,1275894.545,1272690.909,1269487.273,1266283.636,1263080,1259876.364,1256672.727,1253469.091,1250265.455,1247061.818,1243858.182,1240654.545,1237450.909,1234247.273,1231043.636,1227840,1224636.364,1221432.727,1218229.091,1215025.455,1211821.818,1208618.182,1205414.545,1202210.909,1199007.273,1195803.636,1192600,1189396.364,1186192.727,1182989.091,1179785.455,1176581.818,1173378.182,1170174.545,1166970.909,1163767.273,1160563.636,1157360,1154156.364,1150952.727,1147749.091
55,Austria,"14.550072,47.516231",AUT,37760,37822,37884,37946,38008,38070,38132,38194,38256,38318,38380,38428,38476,38524,38572,38620,38670,38720,38770,38820,38870,38920,38970,39025,39080,39135,39190,39245,39300,39355,39410,39465,39520,39575,39630,39685,39740,39795,39850,39905,39960,40015,40070,40125,40180,40235,40290,40345,40400,40455,40510,40565,40620,40675,40730,40785,40840,40895,40950,41005,41060,41115,41170,41225,41280,41335,41390,41445,41500,41555,41610,41665,41720,41775,41830,41885,41940,41995,42050,42105,42160,42215,42270,42325,42380,42435,42490,42545,42600,42655,42710,42765,42820,42875,42930,42985,43040,43095,43150,43205,43260,43315,43370,43425,43480,43535,43590,43645,43700,43755,43810,43865,43920,43975,44030,44085,44140,44195,44250,44305,44360,44415,44470,44525,44580
0,Azerbaijan,"47.576927,40.143105",AZE,9360,0,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360,9360
0,Bahamas,"-77.39628,25.03428",BHS,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150,5150
0.163636364,Bahrain,"50.637772,25.930414",BHR,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,5,4.6,4.8,4.9,5.1,5.3,5.4,5.6,5.763636364,5.927272728,6.090909092,6.254545456,6.41818182,6.581818184,6.745454548,6.909090912,7.072727276,7.23636364,7.400000004,7.563636368,7.727272732,7.890909096,8.05454546,8.218181824,8.381818188,8.545454552,8.709090916,8.87272728,9.036363644,9.200000008,9.363636372,9.527272736,9.6909091,9.854545464,10.01818183,10.18181819,10.34545456,10.50909092,10.67272728,10.83636365,11.00000001,11.16363638,11.32727274,11.4909091,11.65454547,11.81818183,11.9818182,12.14545456,12.30909092,12.47272729,12.63636365,12.80000002,12.96363638,13.12727274,13.29090911,13.45454547,13.61818184,13.7818182,13.94545456,14.10909093,14.27272729,14.43636366,14.60000002,14.76363638,14.92727275,15.09090911,15.25454548,15.41818184,15.5818182,15.74545457,15.90909093,16.0727273,16.23636366,16.40000002,16.56363639,16.72727275,16.89090912,17.05454548,17.21818184,17.38181821,17.54545457,17.70909094,17.8727273,18.03636366,18.20000003,18.36363639,18.52727276,18.69090912,18.85454548,19.01818185,19.18181821,19.34545458,19.50909094,19.6727273,19.83636367,20.00000003,20.1636364,20.32727276,20.49090912,20.65454549,20.81818185,20.98181822,21.14545458,21.30909094,21.47272731,21.63636367,21.80000004,21.9636364,22.12727276,22.29090913
-26,Bangladesh,"90.356331,23.684994",BGD,14940,14914,14888,14862,14836,14810,14784,14758,14732,14706,14680,14654,14628,14602,14576,14550,14524,14498,14472,14446,14420,14394,14368,14342,14316,14290,14264,14238,14212,14186,14160,14134,14108,14082,14056,14030,14004,13978,13952,13926,13900,13874,13848,13822,13796,13770,13744,13718,13692,13666,13640,13614,13588,13562,13536,13510,13484,13458,13432,13406,13380,13354,13328,13302,13276,13250,13224,13198,13172,13146,13120,13094,13068,13042,13016,12990,12964,12938,12912,12886,12860,12834,12808,12782,12756,12730,12704,12678,12652,12626,12600,12574,12548,12522,12496,12470,12444,12418,12392,12366,12340,12314,12288,12262,12236,12210,12184,12158,12132,12106,12080,12054,12028,12002,11976,11950,11924,11898,11872,11846,11820,11794,11768,11742,11716
0,Barbados,"-59.543198,13.193887",BRB,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6,83.6
421.6363636,Belarus,"27.953389,53.709807",BLR,77800,0,78786,79279,79772,80265,80758,81251,81744,82237,82730,83056,83382,83708,84034,84360,84748,85136,85524,85912,86300,86688,87076,87497.63636,87919.27273,88340.90909,88762.54545,89184.18182,89605.81818,90027.45455,90449.09091,90870.72727,91292.36364,91714,92135.63636,92557.27273,92978.90909,93400.54545,93822.18182,94243.81818,94665.45454,95087.09091,95508.72727,95930.36364,96352,96773.63636,97195.27273,97616.90909,98038.54545,98460.18182,98881.81818,99303.45454,99725.09091,100146.7273,100568.3636,100990,101411.6364,101833.2727,102254.9091,102676.5455,103098.1818,103519.8182,103941.4545,104363.0909,104784.7273,105206.3636,105628,106049.6364,106471.2727,106892.9091,107314.5455,107736.1818,108157.8182,108579.4545,109001.0909,109422.7273,109844.3636,110266,110687.6364,111109.2727,111530.9091,111952.5455,112374.1818,112795.8182,113217.4545,113639.0909,114060.7273,114482.3636,114904,115325.6364,115747.2727,116168.9091,116590.5455,117012.1818,117433.8182,117855.4545,118277.0909,118698.7273,119120.3636,119542,119963.6364,120385.2727,120806.9091,121228.5455,121650.1818,122071.8182,122493.4545,122915.0909,123336.7273,123758.3636,124180,124601.6364,125023.2727,125444.9091,125866.5455,126288.1818,126709.8182,127131.4545,127553.0909,127974.7273,128396.3636,128818,129239.6364,129661.2727,130082.9091
1.309090909,Belgium,"4.469936,50.503887",BEL,6770,0,0,0,0,0,0,0,0,0,6673,6683.6,6694.2,6704.8,6715.4,6726,6736.4,6746.8,6757.2,6767.6,6778,6788.4,6798.8,6800.109091,6801.418182,6802.727273,6804.036364,6805.345455,6806.654545,6807.963636,6809.272727,6810.581818,6811.890909,6813.2,6814.509091,6815.818182,6817.127273,6818.436364,6819.745455,6821.054545,6822.363636,6823.672727,6824.981818,6826.290909,6827.6,6828.909091,6830.218182,6831.527273,6832.836364,6834.145455,6835.454545,6836.763636,6838.072727,6839.381818,6840.690909,6842,6843.309091,6844.618182,6845.927273,6847.236364,6848.545455,6849.854545,6851.163636,6852.472727,6853.781818,6855.090909,6856.4,6857.709091,6859.018182,6860.327273,6861.636364,6862.945455,6864.254545,6865.563636,6866.872727,6868.181818,6869.490909,6870.8,6872.109091,6873.418182,6874.727273,6876.036364,6877.345455,6878.654545,6879.963636,6881.272727,6882.581818,6883.890909,6885.2,6886.509091,6887.818182,6889.127273,6890.436364,6891.745455,6893.054545,6894.363636,6895.672727,6896.981818,6898.290909,6899.6,6900.909091,6902.218182,6903.527273,6904.836364,6906.145455,6907.454545,6908.763636,6910.072727,6911.381818,6912.690909,6914,6915.309091,6916.618182,6917.927273,6919.236364,6920.545455,6921.854545,6923.163636,6924.472727,6925.781818,6927.090909,6928.4,6929.709091,6931.018182,6932.327273
-96.45454545,Belize,"-88.49765,17.189877",BLZ,15860,15763,15666,15569,15472,15375,15278,15181,15084,14987,14890,14794,14698,14602,14506,14410,14314,14218,14122,14026,13930,13834,13738,13641.54545,13545.09091,13448.63636,13352.18182,13255.72727,13159.27273,13062.81818,12966.36364,12869.90909,12773.45455,12677,12580.54545,12484.09091,12387.63636,12291.18182,12194.72727,12098.27273,12001.81818,11905.36364,11808.90909,11712.45455,11616,11519.54545,11423.09091,11326.63636,11230.18182,11133.72727,11037.27273,10940.81818,10844.36364,10747.90909,10651.45455,10555,10458.54545,10362.09091,10265.63636,10169.18182,10072.72727,9976.272727,9879.818182,9783.363637,9686.909091,9590.454546,9494,9397.545455,9301.090909,9204.636364,9108.181818,9011.727273,8915.272727,8818.818182,8722.363637,8625.909091,8529.454546,8433,8336.545455,8240.090909,8143.636364,8047.181818,7950.727273,7854.272728,7757.818182,7661.363637,7564.909091,7468.454546,7372,7275.545455,7179.090909,7082.636364,6986.181818,6889.727273,6793.272728,6696.818182,6600.363637,6503.909091,6407.454546,6311,6214.545455,6118.090909,6021.636364,5925.181819,5828.727273,5732.272728,5635.818182,5539.363637,5442.909091,5346.454546,5250,5153.545455,5057.090909,4960.636364,4864.181819,4767.727273,4671.272728,4574.818182,4478.363637,4381.909091,4285.454546,4189,4092.545455,3996.09091,3899.636364
-590.9090909,Benin,"2.315834,9.30769",BEN,57610,56910,56210,55510,54810,54110,53410,52710,52010,51310,50610,50110,49610,49110,48610,48110,47610,47110,46610,46110,45610,45110,44610,44019.09091,43428.18182,42837.27273,42246.36364,41655.45455,41064.54545,40473.63636,39882.72727,39291.81818,38700.90909,38110,37519.09091,36928.18182,36337.27273,35746.36364,35155.45455,34564.54545,33973.63636,33382.72727,32791.81818,32200.90909,31610,31019.09091,30428.18182,29837.27273,29246.36364,28655.45455,28064.54545,27473.63636,26882.72727,26291.81818,25700.90909,25110,24519.09091,23928.18182,23337.27273,22746.36364,22155.45455,21564.54545,20973.63636,20382.72727,19791.81818,19200.90909,18610,18019.09091,17428.18182,16837.27273,16246.36364,15655.45455,15064.54546,14473.63636,13882.72727,13291.81818,12700.90909,12110,11519.09091,10928.18182,10337.27273,9746.363637,9155.454546,8564.545455,7973.636364,7382.727273,6791.818182,6200.909091,5610.000001,5019.09091,4428.181819,3837.272728,3246.363637,2655.454546,2064.545455,1473.636364,882.7272734,291.8181825,-299.0909084,-889.9999993,-1480.90909,-2071.818181,-2662.727272,-3253.636363,-3844.545454,-4435.454545,-5026.363636,-5617.272727,-6208.181817,-6799.090908,-7389.999999,-7980.90909,-8571.818181,-9162.727272,-9753.636363,-10344.54545,-10935.45454,-11526.36364,-12117.27273,-12708.18182,-13299.09091,-13890,-14480.90909,-15071.81818,-15662.72727
0,Bermuda,"-64.75737,32.321384",BMU,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
