"Country Name","Coordinates","Longitude","Latitude","Country Code","Indicator Name","Indicator Code",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"Central African Republic","20.939444,6.611111",20.939444,6.611111,"CAF","Forest area (% of land area)","AG.LND.FRST.ZS",37.24517641,37.19702077,37.14886513,37.10070949,37.05255385,37.00439822,36.95624258,36.90808694,36.8599313,36.81177566,36.76362002,36.71610646,36.66859289,36.62107933,36.57356576,36.5260522,36.47789656,36.42974092,36.38158528,36.33342964,36.28527401,36.23711837,36.18896273,,
"Central Europe and the Baltics","20.939444,6.611111",20.939444,6.611111,"CEB","Forest area (% of land area)","AG.LND.FRST.ZS",31.83957568,,31.40839923,32.02929427,32.09209974,32.15693657,32.21827672,32.2839876,32.34853339,32.41249369,32.4788042,32.61148157,32.79372336,32.92630312,33.11530898,33.19175626,33.38884823,33.5272043,33.66238258,33.76662266,33.89965846,34.03345637,34.10260219,,
"Chad","18.732207,15.454166",18.732207,15.454166,"TCD","Forest area (% of land area)","AG.LND.FRST.ZS",10.4113723,10.34839581,10.28541931,10.22244282,10.15946633,10.09648983,10.03351334,9.970536849,9.907560356,9.844583863,9.78160737,9.718710292,9.655813215,9.592916137,9.53001906,9.467121982,9.404224905,9.341327827,9.27843075,9.215533672,9.152636595,9.089739517,9.02684244,,
"Chile","-71.542969,-35.675147",-71.542969,-35.675147,"CHL","Forest area (% of land area)","AG.LND.FRST.ZS",20.52769753,20.60449315,20.68128877,20.75808439,20.83488001,20.91167562,20.98847124,21.06526686,21.14206248,21.2188581,21.29565372,21.35187188,21.40809004,21.46430819,21.52052635,21.57674451,21.62731396,21.6778834,21.72845284,21.77902229,21.82959173,21.88016118,21.93073062,,
"China","104.195397,35.86166",104.195397,35.86166,"CHN","Forest area (% of land area)","AG.LND.FRST.ZS",16.73800762,16.94954757,17.16108753,17.37262749,17.58416744,17.79572636,18.00728572,18.21882613,18.43036653,18.64190694,18.85346743,19.19525654,19.66423111,20.00823373,20.35223417,20.69623676,20.99249309,21.28874939,21.58500703,21.88126398,22.17752114,22.47377829,22.6227638,,
"Colombia","-74.297333,4.570868",-74.297333,4.570868,"COL","Forest area (% of land area)","AG.LND.FRST.ZS",56.34880577,56.25777377,56.16674178,56.07570978,55.98467778,55.89364579,55.80261379,55.71158179,55.6205498,55.5295178,55.4384858,55.34745381,55.25642181,55.16538982,55.07435782,54.98332582,54.89229383,54.80126183,54.71022983,54.61919784,54.52816584,54.43713384,54.34610185,,
"Comoros","43.872219,-11.875001",43.872219,-11.875001,"COM","Forest area (% of land area)","AG.LND.FRST.ZS",6.448146158,6.233207953,6.018269747,5.803331542,5.588393337,5.373455132,5.158516926,4.943578721,4.728640516,4.513702311,4.298764105,3.976356797,3.65394949,3.331542182,3.009134874,2.686727566,2.471789361,2.256851155,2.04191295,1.826974745,1.612036539,1.397098334,1.182160129,,
"Congo, Dem. Rep.","15.827659,-0.228021",15.827659,-0.228021,"COD","Forest area (% of land area)","AG.LND.FRST.ZS",70.73641958,70.59906045,70.46170133,70.32434221,70.18698308,70.04962396,69.91226484,69.77490571,69.63754659,69.50018747,69.36282835,69.22546922,69.0881101,68.95075098,68.81339185,68.67603273,68.53867361,68.40131448,68.26395536,68.12659624,67.98923711,67.85187799,67.71451887,,
"Congo, Rep.","15.827659,-0.228021",15.827659,-0.228021,"COG","Forest area (% of land area)","AG.LND.FRST.ZS",66.54846266,66.49868228,66.4489019,66.39912152,66.34934114,66.29956076,66.24978038,66.2,66.15021962,66.10043924,66.05065886,66.00087848,65.9510981,65.90131772,65.85153734,65.80175695,65.76573939,65.73060029,65.6954612,65.66032211,65.62518302,65.59004392,65.55490483,,
"Costa Rica","-83.753428,9.748917",-83.753428,9.748917,"CRI","Forest area (% of land area)","AG.LND.FRST.ZS",50.21543282,49.84723854,49.47904426,49.11084998,48.7426557,48.37446142,48.00626714,47.63807286,47.26987857,46.90168429,46.53349001,46.98394046,47.43439091,47.88484136,48.33529181,48.78574226,49.23227575,49.67880924,50.12534273,50.57187622,51.01840971,51.4649432,51.91147669,,
