"Country Name","Coordinates","Longitude","Latitude","Country Code","Indicator Name","Indicator Code",1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"Djibouti","42.590275,11.825138",42.590275,11.825138,"DJI","Forest area (% of land area)","AG.LND.FRST.ZS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,,
"Djibouti","42.590275,11.825138",42.590275,11.825138,"DJI","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC",0.497225957,0.506061571,0.655979806,0.783954863,1.05260823,1.134129865,0.669766592,0.861539666,0.562697232,0.872728867,0.952613742,1.063942329,0.942920865,0.947143477,0.883047038,0.79618029,0.712936094,0.654003924,1.078917258,0.969708863,0.801763007,0.904411917,0.88542686,0.877772815,0.881683627,0.851956667,0.813959367,0.699284697,0.726690876,0.677549989,0.652481517,0.658386998,0.668389157,0.657235908,0.646144045,0.645626292,0.639688791,0.586785385,0.623488728,0.557998691,0.524762447,0.536922011,0.539061165,0.598575824,0.609132291,0.619280954,0.610638671,0.647304037,0.646961484,0.646313828,,,,
"Dominica","-61.370976,15.414999",-61.370976,15.414999,"DMA","Forest area (% of land area)","AG.LND.FRST.ZS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.66666667,66.26666667,66,65.6,65.2,64.93333333,64.53333333,64.13333333,63.86666667,63.46666667,63.06666667,62.8,62.4,62,61.73333333,61.33333333,60.93333333,60.66666667,60.26666667,59.90666667,59.54666667,59.18666667,58.8,,
"Dominica","-61.370976,15.414999",-61.370976,15.414999,"DMA","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC",0.180240845,0.177481285,0.233121424,0.229470753,0.22552969,0.221220119,0.325079046,0.318675589,0.261137697,0.36114863,0.358675908,0.357820929,0.35778103,0.408516801,0.40693013,0.403810153,0.349661495,0.345761662,0.440492239,0.486901332,0.486494375,0.536624628,0.539625418,0.592925958,0.647351983,0.652803834,0.658730378,0.766695009,0.823559136,0.827205053,0.828127426,0.826622334,0.875486272,0.976195147,1.130410414,1.030837995,1.140171858,1.09548332,1.154101456,1.473557313,1.631883434,1.470876429,1.622612692,1.564308567,1.611479686,1.556231433,2.123695176,1.81065982,1.807777903,1.906487557,,,,
"Dominican Republic","-70.162651,18.735693",-70.162651,18.735693,"DOM","Forest area (% of land area)","AG.LND.FRST.ZS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.81125828,40.81125828,40.81125828,40.81125828,40.81125828,40.81125828,40.81125828,40.81125828,40.81125828,40.81125828,40.81125828,40.81125828,40.81125828,40.81125828,40.81125828,40.81125828,40.81125828,40.81125828,40.81125828,40.81125828,40.81125828,40.81125828,40.81125828,,
"Dominican Republic","-70.162651,18.735693",-70.162651,18.735693,"DOM","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC",0.300880777,0.351130223,0.341814314,0.462971962,0.396838675,0.415729454,0.378542362,0.550342128,0.603796156,0.687372469,0.757569217,0.978064479,1.215248987,1.273522636,1.226656309,1.195219995,1.034195154,0.980188866,1.196450612,1.108462566,1.034522932,1.039318502,1.26809361,1.166479827,1.118026193,1.2272053,1.432380437,1.414295366,1.460289187,1.3210079,1.371084233,1.4861706,1.552997868,1.618105451,2.018743123,2.161291336,2.209128182,2.226188777,2.21278674,2.322080619,2.299559124,2.406154784,2.412915411,2.040322289,2.103252876,2.182961682,2.228800267,2.155776782,2.056047061,2.092908442,,,,
"East Asia & Pacific (all income levels)","-70.162651,18.735693",-70.162651,18.735693,"EAS","Forest area (% of land area)","AG.LND.FRST.ZS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.88469484,26.86021741,26.83165356,26.8030893,26.77452462,26.74597257,26.71752686,26.68896451,26.66039805,26.631832,26.61904533,26.69953731,26.84785456,26.92939051,27.01053262,27.09159571,27.10784123,27.12414644,27.14066003,27.15700052,27.17345251,27.18982454,27.13804488,,
"East Asia & Pacific (all income levels)","-70.162651,18.735693",-70.162651,18.735693,"EAS","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC",1.017762916,0.913059592,0.93325957,0.961884848,1.019630374,1.077910754,1.062628962,1.150860423,1.310780074,1.574531427,1.655670758,1.721122724,1.794113729,1.771550029,1.835468257,1.897794361,2.008142464,2.098930878,2.147438607,2.112983465,2.06168917,2.103719666,2.136871585,2.252296606,2.324678946,2.372033751,2.448709475,2.609021284,2.652343597,2.725561385,2.803132526,2.894085675,3.011396424,3.1360945,3.286070106,3.395377595,3.404469306,3.110475012,3.126670763,3.21200304,3.248549002,3.360755227,3.771447024,4.160388019,4.36745321,4.634998927,4.832088233,4.924758913,5.165958366,5.464787551,,,,
"East Asia & Pacific (developing only)","-70.162651,18.735693",-70.162651,18.735693,"EAP","Forest area (% of land area)","AG.LND.FRST.ZS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.88736932,28.84314049,28.79416266,28.7451842,28.69620574,28.64724715,28.5982841,28.54930872,28.50032769,28.45134666,28.4281413,28.56323302,28.80927759,28.94581175,29.08169825,29.21747112,29.30088863,29.38441619,29.46842697,29.55206787,29.63576387,29.71932717,29.68923633,,
"East Asia & Pacific (developing only)","-70.162651,18.735693",-70.162651,18.735693,"EAP","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC",0.725752126,0.583179145,0.566175832,0.559713013,0.594339339,0.63847983,0.540167675,0.575135825,0.677261043,0.865111137,0.947716786,0.980002906,1.003269865,0.996271275,1.11872797,1.151681951,1.249987504,1.367597653,1.379229229,1.344418439,1.316432355,1.392386581,1.44618739,1.534255484,1.63183769,1.688306944,1.774888348,1.880369851,1.890692332,1.930139447,2.015715743,2.084884957,2.200435775,2.293594698,2.454788426,2.540316843,2.530017247,2.267756798,2.264733231,2.324897522,2.382724182,2.49062567,2.949196615,3.367732225,3.621453498,3.922128331,4.1240525,4.254715532,4.590335336,4.874165983,,,,
"East Asia and the Pacific (IFC classification)","-70.162651,18.735693",-70.162651,18.735693,"CEA","Forest area (% of land area)","AG.LND.FRST.ZS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"East Asia and the Pacific (IFC classification)","-70.162651,18.735693",-70.162651,18.735693,"CEA","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ecuador","-78.183406,-1.831239",-78.183406,-1.831239,"ECU","Forest area (% of land area)","AG.LND.FRST.ZS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.90969513,49.19592544,48.48215576,47.76838607,47.05461638,46.3408467,45.62707701,44.91330733,49.26799807,48.4723788,47.67675954,46.88114028,46.08552102,45.28990176,44.49428249,43.69866323,42.90304397,42.10742471,41.31180544,40.51618618,39.72056692,38.92494766,38.12932839,,
"Ecuador","-78.183406,-1.831239",-78.183406,-1.831239,"ECU","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC",0.354487778,0.327605329,0.365266961,0.423646405,0.436852454,0.450982139,0.469249203,0.548022253,0.613845769,0.71090851,0.681485587,0.72059458,0.802491804,0.903502483,1.062730725,1.139388239,1.023493026,1.388390096,1.578525136,1.699644425,2.057410639,2.318500566,2.292952307,2.43145146,2.16819089,1.662863864,1.605110358,1.789631979,2.049942722,1.662966597,1.591296282,2.104391438,2.232078452,1.23133309,2.015978278,2.067162141,1.548934686,1.845915625,1.731283117,1.670956006,1.834522989,1.894845227,1.997273981,2.118221025,2.170847617,2.117019692,2.155728916,2.044437372,2.065051126,2.175597851,,,,
"Egypt, Arab Rep.","30.802498,26.820553",30.802498,26.820553,"EGY","Forest area (% of land area)","AG.LND.FRST.ZS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.044201115,0.045707971,0.047214827,0.048721684,0.05022854,0.051735396,0.053242252,0.054749108,0.056255965,0.057762821,0.059269677,0.06087699,0.062484304,0.064091617,0.06569893,0.067306243,0.067908986,0.068511728,0.069114471,0.069717213,0.070319956,0.070922698,0.071525441,,
"Egypt, Arab Rep.","30.802498,26.820553",30.802498,26.820553,"EGY","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC",0.593632037,0.628420258,0.708801478,0.816927661,0.861547337,0.80650013,0.582183698,0.660814147,0.554636511,0.596733203,0.620342521,0.672315999,0.614325804,0.660790998,0.770578996,0.837014452,0.899551971,0.914154176,0.977169143,1.006850534,1.109542001,1.202840436,1.187628972,1.297789372,1.269954162,1.446595443,1.417486398,1.37993149,1.307459125,1.348032205,1.371652362,1.39221168,1.570729357,1.416405692,1.564915425,1.642381014,1.714934077,1.907531786,1.926226528,2.13688338,1.86672496,1.862198178,2.131040925,2.137823551,2.329524591,2.447103136,2.591713826,2.606860228,2.577287668,2.622791315,,,,
